env,geno,ttime,da_sow2,zadok_stage_A,yield_A,yield_d,biomass_LargeError,biomass_MediumError,biomass_NoError,gw_d,g_no_d,maturity,flowering
Emerald_1993,g103,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g104,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g105,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g106,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g107,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g108,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g109,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g110,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g111,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g112,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g113,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g114,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g115,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g116,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g117,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g118,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g119,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g120,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g121,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g122,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g123,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g124,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g125,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g126,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g127,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g128,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g129,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g130,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g131,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g132,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g133,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g134,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g135,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g136,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g137,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g138,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g139,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g140,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g141,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g142,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g143,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g144,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g145,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g146,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g147,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g148,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g149,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g150,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g151,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g152,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g153,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g154,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g155,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g156,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g157,43.25,1,5,0,*,*,*,0,*,*,0,0
